"Date","Price","Open","High","Low","Vol.","Change %"
"02-02-2024","306.32","302.03","308.29","302.03","432.12K","1.00%"
"01-02-2024","303.30","306.85","308.40","301.16","533.97K","-0.83%"
"31-01-2024","305.84","308.16","309.21","298.62","734.81K","-0.09%"
"30-01-2024","306.13","299.58","317.35","296.10","2.50M","2.39%"
"29-01-2024","298.97","302.47","304.22","298.09","388.51K","-0.48%"
"25-01-2024","300.41","293.72","301.90","292.62","506.34K","2.15%"
"24-01-2024","294.09","286.14","298.42","281.81","536.20K","2.89%"
"23-01-2024","285.82","299.84","299.84","284.52","440.33K","-57.92%"
"20-01-2024","679.25","682.00","693.00","675.00","215.44K","127.03%"
"19-01-2024","299.19","298.09","305.25","291.40","452.60K","1.29%"
"18-01-2024","295.38","287.59","298.16","285.49","667.76K","3.22%"
"17-01-2024","286.17","295.47","295.47","284.13","449.53K","-3.55%"
"16-01-2024","296.69","300.98","305.32","293.76","430.17K","-0.93%"
"15-01-2024","299.47","299.32","301.18","292.29","378.61K","1.24%"
"12-01-2024","295.80","302.23","303.89","295.03","279.92K","-1.87%"
"11-01-2024","301.42","305.53","305.53","298.53","232.98K","-0.56%"
"10-01-2024","303.13","306.43","306.43","298.95","468.40K","-0.71%"
"09-01-2024","305.29","301.95","309.87","298.18","809.21K","2.12%"
"08-01-2024","298.97","313.00","315.12","297.66","818.60K","-3.97%"
